date,langue,note,sentiment,texte,source,nb_mots,mois,mois_str,texte_clean
2025-09-26,EN,4,positif,Burger was cooked to perfection and the onion rings were fantastic.,Google Maps,11,2025-09,Sep 2025,cooked perfection onion rings fantastic
2025-09-08,FR,5,positif,"Absolument incroyable, le meilleur burger de Casablanca sans aucun doute.",TripAdvisor,10,2025-09,Sep 2025,absolument incroyable meilleur sans aucun doute
2025-03-29,FR,5,positif,"Ambiance New-York au cœur de Casa, j'adore l'endroit.",Google Maps,8,2025-03,Mar 2025,ambiance new-york cœur j'adore l'endroit
2026-03-20,FR,1,négatif,"Allergie grave après le burger, fromage potentiellement périmé. Scandaleux.",Google Maps,9,2026-03,Mar 2026,allergie grave après fromage potentiellement périmé scandaleux
2025-03-21,FR,5,positif,meilleure adresse burger que j'ai testée au Maroc.,TripAdvisor,8,2025-03,Mar 2025,meilleure adresse j'ai testée maroc
2025-12-21,EN,5,positif,"One of the best burgers I've had anywhere in the world, seriously.",TripAdvisor,12,2025-12,Dec 2025,one best anywhere world seriously
2026-03-01,FR,5,positif,"le Béarnaise burger est une merveille, cuisson parfaite.",TripAdvisor,8,2026-03,Mar 2026,béarnaise merveille cuisson parfaite
2025-05-22,FR,4,positif,"Accueil chaleureux dès l'entrée, l'équipe est vraiment sympa.",TripAdvisor,8,2025-05,May 2025,accueil chaleureux dès l'entrée l'équipe sympa
2025-07-12,EN,5,positif,"Great halal options, the quality rivals any burger spot in Europe.",TripAdvisor,11,2025-07,Jul 2025,halal options quality rivals spot europe
2026-01-27,FR,4,positif,"Les burgers sont juteux et savoureux, on reviendra sans hésiter.",Google Maps,10,2026-01,Jan 2026,juteux savoureux reviendra sans hésiter
2025-08-15,FR,2,négatif,Qualité en baisse par rapport à mes visites précédentes il y a un an.,Google Maps,14,2025-08,Aug 2025,qualité baisse rapport visites précédentes
2025-12-20,FR,5,positif,"Vraiment une bonne surprise, meilleur que ce à quoi je m'attendais.",TripAdvisor,11,2025-12,Dec 2025,bonne surprise meilleur quoi m'attendais
2025-03-09,FR,1,négatif,"Vraiment, le bun sans gluten était absent ce jour-là malgré ce qu'indique la carte.",TripAdvisor,14,2025-03,Mar 2025,bun sans gluten absent jour-là malgré qu'indique carte
2025-04-20,FR,5,positif,"Burger parfaitement équilibré, bun moelleux, steak haché épais.",TripAdvisor,8,2025-04,Apr 2025,parfaitement équilibré bun moelleux steak haché épais
2025-05-23,EN,5,positif,"One of the best burgers I've had anywhere in the world, seriously.",TripAdvisor,12,2025-05,May 2025,one best anywhere world seriously
2025-05-05,FR,1,négatif,"En résumé, attente de plus d'une heure un samedi soir, inacceptable pour un fast-food gourmet.",Google Maps,15,2025-05,May 2025,résumé attente d'une heure samedi soir inacceptable fast-food gourmet
2025-05-06,FR,5,positif,"En résumé, ingrédients frais, burger bien assemblé, service souriant.",TripAdvisor,9,2025-05,May 2025,résumé ingrédients frais assemblé service souriant
2025-11-14,FR,4,mitigé,"Franchement, bon mais sans plus. Le buzz autour de cet endroit est peut-être excessif.",TripAdvisor,14,2025-11,Nov 2025,franchement bon sans buzz autour cet peut-être excessif
2026-02-18,FR,2,négatif,La viande était trop cuite alors que j'avais demandé saignant explicitement.,Google Maps,11,2026-02,Feb 2026,viande cuite alors j'avais demandé saignant explicitement
2025-07-14,FR,4,positif,"Burger parfaitement équilibré, bun moelleux, steak haché épais.",Google Maps,8,2025-07,Jul 2025,parfaitement équilibré bun moelleux steak haché épais
2025-07-13,FR,5,positif,"Ingrédients frais, burger bien assemblé, service souriant.",TripAdvisor,7,2025-07,Jul 2025,ingrédients frais assemblé service souriant
2025-11-30,EN,5,positif,The staff was super helpful recommending dishes. All excellent.,TripAdvisor,9,2025-11,Nov 2025,staff super helpful recommending dishes excellent
2025-12-06,FR,5,positif,"En résumé, commande livrée rapidement et chaude, conditionnement soigné.",TripAdvisor,9,2025-12,Dec 2025,résumé commande livrée rapidement chaude conditionnement soigné
2025-08-22,FR,3,mitigé,Le burger était excellent mais le service du soir était beaucoup plus lent.,TripAdvisor,13,2025-08,Aug 2025,excellent service soir lent
2025-04-30,FR,3,mitigé,L'expérience était bien mais le dessert a tardé anormalement longtemps.,TripAdvisor,10,2025-04,Apr 2025,l'expérience dessert tardé anormalement longtemps
2025-07-04,EN,4,positif,Must visit if you're in Casablanca. The fries are incredible too.,TripAdvisor,11,2025-07,Jul 2025,must visit fries incredible
2025-09-14,FR,3,mitigé,"Premier burger excellent, mais le second était un peu trop cuit.",Google Maps,11,2025-09,Sep 2025,premier excellent second cuit
2025-07-18,FR,1,négatif,"Franchement, service au bord de l'impolitesse, le staff semblait peu motivé.",Google Maps,11,2025-07,Jul 2025,franchement service bord l'impolitesse staff semblait motivé
2025-02-06,EN,2,négatif,Waited over 45 minutes on a weekday. Staff seemed overwhelmed and disorganized.,TripAdvisor,12,2025-02,Feb 2025,waited minutes weekday staff seemed overwhelmed disorganized
2025-09-26,AR,5,positif,أفضل تجربة برغر في المغرب، اللحم طازج والمكونات عالية الجودة.,Google Maps,10,2025-09,Sep 2025,أفضل تجربة برغر المغرب اللحم طازج والمكونات عالية الجودة
2025-08-28,FR,5,positif,"Tables bien espacées, on peut discuter tranquillement.",Google Maps,7,2025-08,Aug 2025,tables espacées peut discuter tranquillement
